name,prices,category
Crispy Chicken Double Patty Burger,13900,Burgers & Wraps
Crispy Chicken Double Patty with Cheese,16400,Burgers & Wraps
BK Veggie Burger,13900,Burgers & Wraps
BK Chicken Burger,14900,Burgers & Wraps
Hot 'N' Saucy Burger,19900,Kings Premium Burgers
Paneer Royale Burger,19900,Kings Premium Burgers
Fiery Chicken Burger,19900,Kings Premium Burgers
Chicken Tandoori Burger,19900,Kings Premium Burgers
Crispy Veg Double Patty + Crispy Veg Double Patty,19800,Burger Doubles.
Veg Makhani Burst + Whopper Jr Veg,22900,Burger Doubles.
Chicken Whopper + Chicken Whopper,39800,Burger Doubles.
BK Veggie Burger + BK Veggie Burger,27800,Burger Doubles.
Crispy Chicken Double Patty + Crispy Chicken Double Patty,27800,Burger Doubles.
Chicken Makhani Burst + Whopper Jr Chicken,26900,Burger Doubles.
BK Chicken Burger + BK Chicken Burger,29800,Burger Doubles.
Veg Whopper + Veg Whopper,35800,Burger Doubles.
2 Crispy Veg,14000,Burger Doubles.
6 Crispy Veg,35000,Friends & Family Combo (Save upto 20%)
4 Crispy Veg + 2 Medium Fries,40000,Friends & Family Combo (Save upto 20%)
6 Crispy Chicken,49500,Friends & Family Combo (Save upto 20%)
4 Crispy Chicken + 2 Medium Fries,48000,Friends & Family Combo (Save upto 20%)
Veggie Strips(5Pcs) + 1 Dip,7281,Friends & Family Combo (Save upto 20%)
Hot 'N' Saucy Bite,27000,Friends & Family Combo (Save upto 20%)
Fire Me Up,27000,Friends & Family Combo (Save upto 20%)
1 Jr Veg Whopper +1 Chocolate Thick Shake,26900,Friends & Family Combo (Save upto 20%)
1 Jr Chicken Whopper+1 Chocolate Thick Shake,28900,Friends & Family Combo (Save upto 20%)
Fiery Twins,33800,Friends & Family Combo (Save upto 20%)
Hot 'N' Saucy Twins,33800,Friends & Family Combo (Save upto 20%)
2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips,38700,Friends & Family Combo (Save upto 20%)
Crispy Veg + Med Fries + Chocolate Thick Shake,27500,Friends & Family Combo (Save upto 20%)
Crispy Chicken + Med Fries + Chocolate Thick Shake,30400,Friends & Family Combo (Save upto 20%)
BK Veggie + Med Fries + Chocolate Thick Shake,34400,Friends & Family Combo (Save upto 20%)
BK Chicken + Med Fries + Chocolate Thick Shake,35400,Friends & Family Combo (Save upto 20%)
Veg Whopper + Med Fries + Chocolate Thick Shake,38400,Friends & Family Combo (Save upto 20%)
Chicken Whopper + Med Fries + Chocolate Thick Shake,40400,Friends & Family Combo (Save upto 20%)
Paneer Royale + Med Fries + Chocolate Thick Shake,40400,Friends & Family Combo (Save upto 20%)
Fiery Chicken + Med Fries + Chocolate Thick Shake,40400,Friends & Family Combo (Save upto 20%)
Crispy Veg Combo,22900,Meal Combos(Save Rs. 45)
Crispy Chicken Combo,26700,Meal Combos(Save Rs. 45)
Whopper Jr Veg Combo,26800,Meal Combos(Save Rs. 45)
Whopper Jr Chicken Combo,28800,Meal Combos(Save Rs. 45)
Veg Whopper Combo,32800,Meal Combos(Save Rs. 45)
Chicken Whopper Combo,35800,Meal Combos(Save Rs. 45)
Hot 'N' Saucy Burger Combo,34800,Meal Combos(Save Rs. 45)
Fiery Chicken Burger Combo,36800,Meal Combos(Save Rs. 45)
Paneer Royale Burger Combo,35800,Meal Combos(Save Rs. 45)
Chicken Tandoori Burger Combo,34800,Meal Combos(Save Rs. 45)
Mutton Whopper - Combo,44800,Meal Combos(Save Rs. 45)
(4Pc) Crunchy Chicken Nuggets,9500,Sides
(6Pc) Crunchy Chicken Nuggets + 1 Dip,16900,Sides
(9Pc) Crunchy Chicken Nuggets + 2 Dips,19900,Sides
(18Pcs) Crunchy Chicken Nuggets + 3 Dips,31900,Sides
Fiery Hell Dip,2381,Sides
Hashbrown,4900,Sides
Peri Peri Spice Mix,2857,Sides
Veggie Strips(5 Pcs),5900,Sides
Medium Fries,11500,Sides
King Fries,13000,Sides
Medium Peri Peri Fries,14400,Sides
King Peri Peri Fries,15900,Sides
Peri Peri Fries,14400,Sides
Medium Soft Drink (Cola),9500,Beverages
Chocolate Thick Shake,18900,Beverages
Mango Thick Shake,18900,Beverages
Berry Blast Thick Shake,18900,Beverages
Medium Soft Drink (Diet Cola),9500,Beverages
Choco Lava Cup,10900,Desserts
Chocolate Mousse Cup,10900,Desserts
Chicken Wings Fried - Two Pieces,7900,Chicken Wings.
Chicken Wings Fried - Four Pieces,14900,Chicken Wings.
Chicken Wings Fried - Ten Pieces,34900,Chicken Wings.
Chicken Wings Fried - Fifteen Pieces,52900,Chicken Wings.
Boneless Wings Regular,15900,Chicken Wings.
Boneless Wings Large,26900,Chicken Wings.
